game_id,game_order,event,site,date_played,round,white,black,result,white_elo,white_rating_diff,black_elo,black_rating_diff,winner,winner_elo,loser,loser_elo,winner_loser_elo_diff,eco,termination,time_control,utc_date,utc_time,variant,ply_count,date_created,file_name,eval
98d316ca-9f19-4647-aa2d-bea7f81b5156,14,Lichess Titled Arena 8,https://lichess.org/cUr8yNMv,2018.10.26,?,alireza2003,DrDrunkenstein,0-1,2609,-3,2907,+4,DrDrunkenstein,2907,alireza2003,2609,298,B10,Normal,60+0,2018.10.26,20:35:54,Standard,,2021-03-05T01:41:38+0000,lichess_DrDrunkenstein_2021-01-04.pgn
64fcb20e-96a0-4e61-8a4a-d76c7b24da79,15,Lichess Titled Arena 8,https://lichess.org/3UoVRbaG,2018.10.26,?,TerryR2,DrDrunkenstein,0-1,2858,-10,2896,+11,DrDrunkenstein,2896,TerryR2,2858,38,D37,Normal,60+0,2018.10.26,20:33:20,Standard,,2021-03-05T01:41:38+0000,lichess_DrDrunkenstein_2021-01-04.pgn
eb2c40ca-d674-4334-9df1-419ab68375eb,16,Lichess Titled Arena 8,https://lichess.org/TfOpSW97,2018.10.26,?,DrDrunkenstein,opperwezen,1-0,2888,+8,2784,-8,DrDrunkenstein,2888,opperwezen,2784,104,A05,Normal,60+0,2018.10.26,20:32:06,Standard,,2021-03-05T01:41:38+0000,lichess_DrDrunkenstein_2021-01-04.pgn
c7db7f04-f17d-4f3a-b41f-82050068957c,17,Lichess Titled Arena 8,https://lichess.org/YSPp7ZrL,2018.10.26,?,Zhigalko_Sergei,DrDrunkenstein,0-1,2899,-14,2874,+14,DrDrunkenstein,2874,Zhigalko_Sergei,2899,-25,B12,Normal,60+0,2018.10.26,20:29:51,Standard,,2021-03-05T01:41:38+0000,lichess_DrDrunkenstein_2021-01-04.pgn
268c7676-6aea-492b-8fac-623bc16ae17f,18,Lichess Titled Arena 8,https://lichess.org/jPiJqhNx,2018.10.26,?,DrDrunkenstein,penguingim1,0-1,2892,-18,2739,+11,penguingim1,2739,DrDrunkenstein,2892,-153,C10,Normal,60+0,2018.10.26,20:27:30,Standard,,2021-03-05T01:41:38+0000,lichess_DrDrunkenstein_2021-01-04.pgn
2f253e95-576f-4630-ab7c-4878dbd73c29,19,Lichess Titled Arena 8,https://lichess.org/WRHf4MMy,2018.10.26,?,SaraciNderim,DrDrunkenstein,0-1,2633,-4,2887,+5,DrDrunkenstein,2887,SaraciNderim,2633,254,A80,Normal,60+0,2018.10.26,20:25:53,Standard,,2021-03-05T01:41:38+0000,lichess_DrDrunkenstein_2021-01-04.pgn
47cf1d1a-8a88-484a-a611-615e1cd108b3,20,Lichess Titled Arena 8,https://lichess.org/G4kb6l02,2018.10.26,?,DrDrunkenstein,kiketf,1-0,2884,+3,2565,-3,DrDrunkenstein,2884,kiketf,2565,319,A46,Normal,60+0,2018.10.26,20:23:27,Standard,,2021-03-05T01:41:38+0000,lichess_DrDrunkenstein_2021-01-04.pgn
967d3388-209d-4b0c-a6bf-0f1c76b79c36,21,Lichess Titled Arena 8,https://lichess.org/pLbBqUIL,2018.10.26,?,DrDrunkenstein,pochtalionPechkin,1-0,2881,+3,2529,-3,DrDrunkenstein,2881,pochtalionPechkin,2529,352,D00,Normal,60+0,2018.10.26,20:20:58,Standard,,2021-03-05T01:41:38+0000,lichess_DrDrunkenstein_2021-01-04.pgn
a21bb6ea-dc19-4e21-bf56-d9797bca4450,22,Lichess Titled Arena 8,https://lichess.org/L6satyXF,2018.10.26,?,DrDrunkenstein,PulpanJ,1-0,2876,+5,2638,-4,DrDrunkenstein,2876,PulpanJ,2638,238,D35,Normal,60+0,2018.10.26,20:19:10,Standard,,2021-03-05T01:41:38+0000,lichess_DrDrunkenstein_2021-01-04.pgn
d5d3e98b-afa6-48ec-9dbe-c7605d14b5b9,23,Lichess Titled Arena 8,https://lichess.org/wxNqz0bU,2018.10.26,?,PchelkinVK,DrDrunkenstein,0-1,2543,-3,2872,+4,DrDrunkenstein,2872,PchelkinVK,2543,329,A45,Time forfeit,60+0,2018.10.26,20:17:00,Standard,,2021-03-05T01:41:38+0000,lichess_DrDrunkenstein_2021-01-04.pgn
